,,ADC-BATT1,ADC-EXT2,ADC-EXT3,ADC-EXT4,ADC-EXT5,LED-BATT1,LED-OK1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Id,Designator,Package,Quantity,Designation,Supplier and ref,,,
1,C1,C_1206_HandSoldering,1,100nF,,,,
2,P1P2,Socket_Strip_Straight_1x15,2,CONN_01X15,,,,
3,P3,Socket_Strip_Straight_1x05,1,CONN_01X05,,,,
4,P4P5,Socket_Strip_Straight_1x04,2,CONN_01X04,,,,
5,P7,Socket_Strip_Straight_1x06,1,CONN_01X06,,,,
6,P8P9,,,,,,,
7,"P10LED-ON1""",Socket_Strip_Straight_1x01,10,CONN_01X01,,,,
8,SW1SW2,Socket_Strip_Straight_1x02,2,SW_PUSH,,,,
9,P6,Socket_Strip_Straight_2x04,1,CONN_02X04,,,,
10,U1,sot223,1,AP1117,,,,
11,C2,c_tant_A,1,1uF,,,,
12,C3,c_tant_C,1,100uF,,,,
13,R1,R_0805_HandSoldering,1,1K,,,,
14,R2,R_0805_HandSoldering,1,12K,,,,
15,R3,R_0805_HandSoldering,1,22K,,,,
